"time","temp","temp.min","temp.max"
2013-06-13 23:00:00,28.67,25,31.11
2013-06-14 00:00:00,31.67,31.67,31.67
2013-06-14 01:00:00,29.54,27,32.22
2013-06-14 02:00:00,31.17,28,32.78
2013-06-14 03:00:00,31.4,28,35
2013-06-14 04:00:00,31.33,28,33.33
2013-06-14 05:00:00,28.77,28,29.44
2013-06-14 06:00:00,26.97,26.67,27.22
2013-06-14 07:00:00,25.37,25,26
2013-06-14 08:00:00,23.51,22.78,24
2013-06-14 09:00:00,22.78,22.78,22.78
2013-06-14 10:00:00,23.05,22.78,23.33
2013-06-14 11:00:00,22.35,21.67,23
2013-06-14 12:00:00,21.5700000000001,21.11,22
2013-06-14 13:00:00,21.03,20.56,22
2013-06-14 14:00:00,21.42,20.56,22
2013-06-14 15:00:00,20.51,20,21
2013-06-14 16:00:00,20,20,20
2013-06-14 17:00:00,20.6,20,21
2013-06-14 18:00:00,19.73,19.44,20
2013-06-14 19:00:00,19.21,19,19.44
2013-06-14 20:00:00,19.21,19,19.44
2013-06-14 22:00:00,26.67,23,30.56
2013-06-14 23:00:00,28.75,26,31.67
2013-06-15 00:00:00,28.75,26,31.67
2013-06-15 01:00:00,30.0700000000001,27,33.33
2013-06-15 02:00:00,30.59,28,33.33
2013-06-15 03:00:00,31.1,29,33.33
2013-06-15 04:00:00,30.56,29,32.22
2013-06-15 05:00:00,28.97,28,30
2013-06-15 06:00:00,27.62,27.22,28
2013-06-15 07:00:00,25.79,25.56,26
2013-06-15 08:00:00,23.67,23.33,24
2013-06-15 09:00:00,23.73,23.33,24
2013-06-15 10:00:00,22.68,22.22,23
2013-06-15 11:00:00,22.91,22.78,23
2013-06-15 12:00:00,22.62,22.22,23
2013-06-15 13:00:00,22.11,22,22.22
2013-06-15 14:00:00,21.5700000000001,21.11,22
2013-06-15 15:00:00,21.3,20.56,22
2013-06-15 16:00:00,20.8200000000001,20.56,21
2013-06-15 17:00:00,20.27,20,20.56
2013-06-15 18:00:00,20,20,20
2013-06-15 19:00:00,20.23,20,20.56
2013-06-15 20:00:00,20.76,19.44,22
2013-06-15 21:00:00,23.18,22,24.44
2013-06-15 22:00:00,24.33,22,27.78
2013-06-15 23:00:00,26.2,24,29.44
2013-06-16 00:00:00,27.96,25,31.11
2013-06-16 01:00:00,28.29,26,31.67
2013-06-16 02:00:00,28.75,26,31.67
2013-06-16 03:00:00,28.48,26,31.11
2013-06-16 04:00:00,27.61,26,30
2013-06-16 05:00:00,27.13,26,28.33
2013-06-16 06:00:00,25,25,25
2013-06-16 07:00:00,22.38,22,22.78
2013-06-16 08:00:00,21.05,21,21.11
2013-06-16 09:00:00,21.05,21,21.11
2013-06-16 10:00:00,21.05,21,21.11
2013-06-16 11:00:00,20.79,20.56,21
2013-06-16 12:00:00,20.52,20,21
2013-06-16 13:00:00,20.37,19.44,21
2013-06-16 15:00:00,18.13,18,18.33
2013-06-16 17:00:00,17.64,17,18.33
2013-06-16 19:00:00,17.38,17,17.78
2013-06-16 21:00:00,20.02,19,21.11
2013-06-16 23:00:00,24.33,22,27.78
2013-06-17 01:00:00,25.56,24,27.22
2013-06-17 03:00:00,26.35,25,27.78
2013-06-17 05:00:00,25.81,25,26.67
2013-06-17 07:00:00,22.89,22.78,23
2013-06-17 09:00:00,21.05,21,21.11
2013-06-17 11:00:00,21.3200000000001,21,21.67
2013-06-17 13:00:00,21.27,21,21.67
2013-06-17 15:00:00,21.84,21.67,22
2013-06-17 17:00:00,21.05,21,21.11
2013-06-17 19:00:00,21.05,21,21.11
2013-06-17 21:00:00,21.49,21,22.22
2013-06-17 23:00:00,25.56,24,27.22
2013-06-18 01:00:00,28.47,26,31.11
